Date,MXWO,MXWD,LEGATRUU,HFRXGL,RX1,TY1,GC1,CO1,ES1,VG1,NQ1,LLL1,TP1,DU1,TU2
23/09/2008,1249.660,311.500,362.368,1218.430,113.300,114.859,885.900,103.080,1187.000,3162.000,1650.500,810.500,1161.000,103.720,106.555
30/09/2008,1182.440,294.790,355.945,1196.000,115.070,114.625,874.200,98.170,1169.000,3062.000,1604.500,805.200,1086.000,104.380,106.719
07/10/2008,1039.720,257.960,357.210,1148.830,117.050,117.141,878.400,84.660,1005.750,2878.000,1336.500,610.200,981.000,104.960,107.602
14/10/2008,1022.590,254.680,349.413,1083.250,113.990,112.141,836.300,74.530,1002.250,2761.000,1366.000,648.300,980.000,104.795,106.945
21/10/2008,972.120,239.820,347.872,1090.790,115.240,114.500,766.100,69.720,959.250,2589.000,1292.500,550.100,951.000,105.345,106.805
28/10/2008,892.190,218.290,342.247,1070.110,117.220,114.359,739.300,60.290,938.750,2326.000,1308.000,523.000,793.500,105.980,106.867
04/11/2008,1007.650,248.640,347.138,1065.500,116.680,115.125,757.300,66.440,1003.250,2753.000,1380.500,631.000,915.000,105.975,107.086
11/11/2008,906.280,224.130,346.005,1066.000,118.040,116.000,732.800,55.710,893.000,2491.000,1223.000,555.000,887.000,106.330,107.367
18/11/2008,861.510,212.010,346.208,1050.850,118.760,118.469,732.700,51.840,866.500,2385.000,1174.000,510.300,836.500,106.595,107.492
25/11/2008,863.240,212.390,354.224,1034.060,120.830,121.172,818.500,50.350,853.250,2392.000,1135.500,503.900,831.000,106.455,108.203
02/12/2008,846.740,208.730,356.199,1033.130,123.470,125.250,781.300,45.440,849.000,2359.000,1133.000,522.900,789.500,106.695,108.219
09/12/2008,887.650,219.270,357.572,1026.070,122.170,125.906,772.400,41.530,889.500,2483.000,1217.000,544.000,819.000,106.495,108.258
16/12/2008,917.070,227.160,370.228,1026.130,122.990,129.203,841.700,44.560,913.500,2452.000,1239.000,610.700,828.000,106.870,108.742
23/12/2008,888.310,220.110,374.499,1022.910,124.920,127.141,837.200,40.360,858.500,2394.000,1184.500,556.500,849.500,107.465,108.719
30/12/2008,915.970,226.680,377.516,1021.400,124.840,127.297,870.000,40.150,888.250,2450.000,1206.000,567.500,862.000,107.470,109.047
06/01/2009,949.690,235.810,366.521,1022.540,123.430,124.359,866.000,50.530,930.500,2576.000,1271.000,625.200,873.000,107.455,108.977
13/01/2009,889.420,220.170,369.994,1034.610,125.120,126.219,820.700,44.830,868.500,2411.000,1204.000,554.800,809.500,107.880,108.672
20/01/2009,822.610,203.940,365.161,1030.310,124.980,126.266,855.200,43.620,806.000,2200.000,1147.500,499.200,803.500,107.875,108.773
27/01/2009,854.460,211.120,366.783,1032.120,122.720,124.719,899.500,43.730,839.250,2228.000,1185.750,531.800,808.500,107.515,108.539
03/02/2009,843.770,208.970,364.122,1031.700,122.180,122.547,892.000,44.080,831.500,2244.000,1207.750,537.400,768.000,107.865,108.320
10/02/2009,846.420,210.930,364.723,1035.400,122.350,123.094,913.700,44.610,827.000,2286.000,1232.500,543.100,779.500,107.930,108.477
17/02/2009,796.670,198.250,360.756,1036.170,125.760,124.438,967.000,41.030,785.500,2124.000,1182.500,512.000,759.000,108.495,108.586
24/02/2009,767.790,191.090,357.621,1034.460,125.690,122.859,969.100,42.500,768.750,1985.000,1163.500,513.400,734.000,108.250,108.398
03/03/2009,705.350,176.100,352.902,1027.780,125.350,122.688,913.600,43.700,689.500,1873.000,1072.000,465.100,722.000,108.455,108.508
10/03/2009,725.260,181.570,354.056,1027.000,124.490,122.344,895.900,43.960,716.000,1918.000,1106.000,515.900,704.000,108.055,108.391
17/03/2009,778.580,195.000,355.822,1025.140,122.610,122.391,916.800,48.240,778.750,2010.000,1191.250,557.600,754.500,107.910,108.344
24/03/2009,824.070,206.700,364.738,1027.960,123.040,124.188,923.800,53.500,803.500,2057.000,1236.250,583.000,804.500,107.955,108.672
31/03/2009,805.220,202.040,362.460,1033.000,124.430,124.078,922.600,49.230,794.750,1993.000,1237.500,582.800,777.000,108.295,108.945
07/04/2009,832.790,209.970,360.519,1029.240,122.140,122.188,882.200,51.220,814.000,2089.000,1280.750,623.600,834.500,107.785,108.141
14/04/2009,861.860,217.610,363.500,1031.140,122.300,123.594,890.900,51.960,840.250,2197.000,1324.000,641.400,844.000,107.960,108.305
21/04/2009,856.380,215.680,361.426,1036.430,123.190,122.406,882.100,49.820,847.750,2169.000,1328.000,635.000,831.500,107.945,108.109
28/04/2009,866.310,217.770,364.718,1039.490,122.960,121.672,892.800,49.990,851.750,2221.000,1360.500,625.200,810.000,108.110,108.125
05/05/2009,922.550,233.440,366.863,1045.240,122.350,120.953,904.300,54.120,903.500,2363.000,1427.250,713.800,848.500,108.055,108.094
12/05/2009,941.640,238.360,372.265,1059.950,120.620,121.297,923.900,57.940,906.750,2400.000,1385.000,714.700,888.000,108.030,108.297
19/05/2009,947.680,240.650,373.158,1064.230,120.510,120.656,926.700,58.920,906.500,2441.000,1394.000,748.600,881.500,108.160,108.359
26/05/2009,958.270,242.790,376.814,1068.610,119.630,118.734,953.300,61.240,908.750,2467.000,1410.750,748.900,883.500,108.005,108.313
02/06/2009,1000.080,254.290,379.534,1076.900,119.010,117.234,983.200,68.170,942.500,2538.000,1478.500,800.000,914.000,108.205,108.336
09/06/2009,982.640,249.440,373.949,1074.300,118.590,115.391,954.000,69.620,939.500,2478.000,1500.750,776.500,917.500,107.290,107.523
16/06/2009,960.020,244.130,375.641,1082.090,119.380,116.750,931.600,70.240,912.000,2429.000,1445.750,752.200,917.000,107.455,107.758
23/06/2009,938.310,237.700,378.611,1077.330,120.230,115.484,923.900,68.800,890.250,2348.000,1424.000,725.100,897.500,107.710,107.961
